,confidence,consensus,id,net spoke 5% similarity,net spoke 95% similarity,net spoke PC1,spoke 5% similarity,spoke 95% similarity,spoke PC1,survey 5% similarity,survey 95% similarity,survey PC1,t,network
GT_jcfFiGC22Api8cm7o_0,60.73684210526316,58.26315789473684,jcfFiGC22Api8cm7o,-0.10942070392300365,0.17309253086123333,0.16759561093435923,-0.2672828814037137,0.7708333333333331,0.3560066550233911,-0.4808584004821353,0.5772148563112725,0.28563771400045845,0,1
GT_jcfFiGC22Api8cm7o_1,54.8,53.35,jcfFiGC22Api8cm7o,-0.05128698843589079,0.18815648227274853,0.14773748287209817,-0.2434678572636328,0.7703915793837133,0.33854315667120705,-0.3077246945268811,0.8329224351984632,0.33046945928712523,1,1
GT_Lj2up2ePZA6WtiK4q_0,53.0,48.78947368421053,Lj2up2ePZA6WtiK4q,-0.13591175471794198,0.09613841317506899,0.04445828702813029,-0.1160601618408778,0.7483314773547882,0.2769366531735389,-0.41527452782858376,0.7842804246086736,0.28002063314471193,0,0
GT_Lj2up2ePZA6WtiK4q_1,55.1,49.95,Lj2up2ePZA6WtiK4q,-0.08897601644671317,0.15301905043745329,0.0876055531333884,-0.2671697498476332,0.6777968433388376,0.2868857517799482,-0.4879638237052412,0.6208765358843904,0.32897098904209543,1,0
GT_oWf8QrmFrj8ZiE6JK_0,58.94736842105263,64.57894736842105,oWf8QrmFrj8ZiE6JK,-0.046485300492359743,0.39916614217861934,0.21310445592434799,-0.2714483570153183,0.9061048196370303,0.39218408524966103,-0.4651911448284872,0.6384202511605257,0.4358868346149281,0,1
GT_oWf8QrmFrj8ZiE6JK_1,51.0,54.73684210526316,oWf8QrmFrj8ZiE6JK,-0.1044995708767884,0.292081560945435,0.27092219514927846,-0.29724667582593955,0.8560771088919391,0.47780740578438463,-0.5846287554822832,0.6205872564008381,0.3614852532040447,1,1
GT_MfjKnfErfu8AMLKps_0,59.526315789473685,58.73684210526316,MfjKnfErfu8AMLKps,-0.04072748223917294,0.05137481353523354,0.045648293446240606,-0.1903865140115198,0.6026423076047173,0.3038271738437632,-0.5441028833037368,0.591943257213771,0.27111880104190866,0,0
GT_MfjKnfErfu8AMLKps_1,59.95,59.45,MfjKnfErfu8AMLKps,-0.03155820634099631,0.07894284899366837,0.006063233625654106,-0.21277961637100207,0.6360782060820831,0.24182797671797013,-0.5432872034301918,0.7451631815393198,0.4256840439659125,1,0
GT_mSJbtZFsaaWC3ANqy_0,62.35,59.9,mSJbtZFsaaWC3ANqy,-0.08939156633225455,0.3644188376634968,0.18668986185534153,-0.29165465562582654,0.8813663057736554,0.37584628181974306,-0.448069460650733,0.738816616699061,0.39762523427724733,0,1
GT_mSJbtZFsaaWC3ANqy_1,57.833333333333336,55.611111111111114,mSJbtZFsaaWC3ANqy,-0.07188856688378051,0.2925001102205942,0.17614871458458972,-0.3143688590822664,0.7698003589195012,0.37250087451248476,-0.566077241171584,0.6419315539392488,0.28825884878515645,1,1
GT_rtzgQPuxzH7dGbna4_0,70.9,65.85,rtzgQPuxzH7dGbna4,-0.06475724991639545,0.14875221595961177,0.12753217302283656,-0.1434742164478678,0.7458917790407569,0.38807168872219483,-0.40553968512695454,0.7101636122214495,0.3841103617378002,0,0
GT_rtzgQPuxzH7dGbna4_1,65.44444444444444,55.888888888888886,rtzgQPuxzH7dGbna4,-0.03899753853657639,0.13098615644445255,0.0714473290197227,-0.2575205986598699,0.6517949073958693,0.2737686717382181,-0.38349719606310206,0.7072536702978807,0.33634742092274766,1,0
GT_b4CBPunda96KnrhFi_0,49.578947368421055,55.26315789473684,b4CBPunda96KnrhFi,-0.0911015650450885,0.20766934672648307,0.1605156026969048,-0.11065666703449757,0.8451235648337585,0.3487152257297032,-0.30112668180908003,0.7186724920379259,0.3844448438796444,0,1
GT_b4CBPunda96KnrhFi_1,66.63157894736842,62.68421052631579,b4CBPunda96KnrhFi,-0.1925361419722801,0.1406604142180713,0.2483185263570618,-0.15253477177414324,0.8210201423071631,0.4531229009058444,-0.18096532683219335,0.9119789957297904,0.4769757782857754,1,1
GT_EFdcytJKJJAgFebvR_0,51.36842105263158,54.68421052631579,EFdcytJKJJAgFebvR,-0.05692462537488224,-0.027811915264892573,0.034755860029025504,0.05786537963327733,0.6919778044745626,0.24548398652425168,-0.22578372584001827,0.8137404589302116,0.4036548920788771,0,0
GT_EFdcytJKJJAgFebvR_1,45.7,39.05,EFdcytJKJJAgFebvR,-0.019230774277521557,0.030270835257474767,0.03065147900968434,-0.16663749511068598,0.632659606844322,0.22677304298243844,-0.4814963644025042,0.6459772565984739,0.27514373758566657,1,0
GT_NkvLcmxvQY36f759u_0,52.25,52.65,NkvLcmxvQY36f759u,-0.08516154759007216,0.23061551226417665,0.1515750584998983,-0.3211009126611494,0.7054070985331297,0.3454124964506472,-0.4822569672606364,0.671286211605224,0.36932917569460777,0,1
GT_NkvLcmxvQY36f759u_1,58.35,63.4,NkvLcmxvQY36f759u,-0.031676675832596805,0.24863897943093777,0.10633087926402196,-0.25062206759266786,0.7130026966466757,0.2971141942726087,-0.589132231022909,0.6229366033528677,0.3839307825497165,1,1
GT_yAmdFLN5XZJ6SxeKL_0,55.7,56.65,yAmdFLN5XZJ6SxeKL,-0.11463001790182517,0.06955031253377277,0.05516648484573798,-0.20098536226581118,0.6718931775064731,0.27135231839216994,-0.48131003975812714,0.6474057763180474,0.26728154943286486,0,0
GT_yAmdFLN5XZJ6SxeKL_1,63.111111111111114,57.05555555555556,yAmdFLN5XZJ6SxeKL,-0.06703631433406493,0.22458711832611067,0.10005286562959001,-0.23689008987951798,0.7904761904761906,0.30044363650263417,-0.5628086196131761,0.6288789143924602,0.31444233824594275,1,0
GT_qQyhQa275SKLzM3X9_0,57.5,54.4,qQyhQa275SKLzM3X9,-0.08429860653125983,0.21199786178156688,0.20324646959970902,-0.25321767701084263,0.7806181410926565,0.4103248936560736,-0.47191560527965243,0.6383364015737677,0.30637900445277455,0,1
GT_qQyhQa275SKLzM3X9_1,57.75,53.25,qQyhQa275SKLzM3X9,-0.1152634797358954,0.3051942373586903,0.2657291965216447,-0.36672090241550714,0.7949725446236705,0.4709651206928102,-0.4707964053456017,0.7622607315465166,0.45478399750325654,1,1
GT_c2BKscFKSBaujzQHw_0,63.4,60.9,c2BKscFKSBaujzQHw,-0.05406647868875562,0.03175552499589128,-0.0022791621029923425,-0.07144678243516918,0.6650807715704276,0.32675128667065495,-0.4790555820979559,0.561405429338739,0.29986849993006787,0,0
GT_c2BKscFKSBaujzQHw_1,60.6875,58.75,c2BKscFKSBaujzQHw,-0.04195190687921305,0.15446806552198244,0.08081069789513626,-0.24548306868118278,0.6473824628527559,0.3284043490592138,-0.3312855507168885,0.6802901429495984,0.25051325219243525,1,0
GT_9oijjTA5XEFzCtedK_0,55.5,53.2,9oijjTA5XEFzCtedK,-0.0397808836859432,0.20492149388476522,0.13906497418569946,-0.10549559541536875,0.8075227881863747,0.32753004571672545,-0.4562269998950549,0.69405910007611,0.3451298430332076,0,1
GT_9oijjTA5XEFzCtedK_1,52.21052631578947,52.89473684210526,9oijjTA5XEFzCtedK,-0.14993026941581603,0.21967732912800925,0.2270142293065019,-0.39223227027636853,0.6831300510639732,0.42106612734164345,-0.5223494972725493,0.6328541043518956,0.28570871073869675,1,1
GT_SamzHPveTXj44MS6F_0,53.8421052631579,56.63157894736842,SamzHPveTXj44MS6F,-0.07558232683266615,0.1488639414317665,0.09819761725563053,-0.17687990278638166,0.7461248111888981,0.3081238983979413,-0.35790246125774006,0.5836295061511794,0.24054521694947534,0,0
GT_SamzHPveTXj44MS6F_1,55.5,56.55,SamzHPveTXj44MS6F,-0.11213452915035924,0.12723163373911955,0.07045352248043642,-0.06447368875191095,0.7966512812539945,0.3757196081762549,-0.43587691642026727,0.5473542053209985,0.33377681150475597,1,0
GT_2RErnuyZ5YmzTzpxh_0,56.388888888888886,51.166666666666664,2RErnuyZ5YmzTzpxh,-0.152654499106369,0.3412240431664322,0.2281385339850981,-0.3791804802010318,0.8155875441023525,0.4289148823886388,-0.5334814062893672,0.7081967468489987,0.36105901297696696,0,1
GT_2RErnuyZ5YmzTzpxh_1,50.26315789473684,49.05263157894737,2RErnuyZ5YmzTzpxh,-0.0761330543078184,0.26692117038360647,0.14552717431999526,-0.2956954765937585,0.7658692430600651,0.357379050250739,-0.3146445957925921,0.7838162306503255,0.3014328541862352,1,1
GT_7kcXpJaQqJmx68nYz_0,52.35,46.55,7kcXpJaQqJmx68nYz,-0.11394691897624556,0.07669771112850758,0.035459656882334975,-0.08085399482156473,0.7151647813935956,0.3093585446802096,-0.5261605961952004,0.6726792046799432,0.3841849749007848,0,0
GT_7kcXpJaQqJmx68nYz_1,54.45,50.45,7kcXpJaQqJmx68nYz,-0.08836399372868928,0.03294895073228941,0.027244945664789508,-0.17963171265809907,0.6237101692258926,0.23151312309444974,-0.43363522361267426,0.7369509208019327,0.2907349898822579,1,0
GT_RLNbvyv9ipkrkPJKc_0,65.85,69.9,RLNbvyv9ipkrkPJKc,-0.12373271025369516,0.3776172590419555,0.23101158629542573,-0.3686615850140017,0.830681557314709,0.42272272953296186,-0.5925988134502873,0.5739035086796824,0.44800324842847905,0,1
GT_RLNbvyv9ipkrkPJKc_1,71.84210526315789,71.0,RLNbvyv9ipkrkPJKc,-0.07369677555866376,0.25571894870982853,0.16616093497476037,-0.3171362311177258,0.6929810507654272,0.35191085805843886,-0.5367608075601717,0.6120301864330734,0.32207958612249965,1,1
GT_mYHZ32AyKCmNrfSY5_0,53.7,57.3,mYHZ32AyKCmNrfSY5,-0.010377562150005754,0.012788646679396228,0.004924712695593627,-0.15414036748634571,0.5754711987384435,0.3054108591927033,-0.45031305899890983,0.6519624748470662,0.3075275526987486,0,0
GT_mYHZ32AyKCmNrfSY5_1,73.44444444444444,67.55555555555556,mYHZ32AyKCmNrfSY5,-0.019236236337249135,0.07311068657428688,0.0715462693734765,-0.21549855796030776,0.6330427056250623,0.2876301974964213,-0.5212927222898791,0.5419360145547524,0.41869923048454666,1,0
GT_55mC2NYGpS5sYb46x_0,61.8421052631579,61.8421052631579,55mC2NYGpS5sYb46x,-0.11804713222048908,0.24358152987992543,0.30173850724445533,-0.1965531908682726,0.8320502943378437,0.48949323616122875,-0.549005571906687,0.8069973704427864,0.4499909484756914,0,1
GT_55mC2NYGpS5sYb46x_1,60.8421052631579,54.421052631578945,55mC2NYGpS5sYb46x,-0.08527874812600222,0.3050078285662501,0.2411892050901486,-0.28867513459481287,0.8856148855400952,0.4380698042243413,-0.5995384797864898,0.7158172962205425,0.3415425772729556,1,1
GT_KtFjB6pDKRispFwCs_0,44.75,45.65,KtFjB6pDKRispFwCs,-0.08856163314653367,0.0444015296668876,0.007873498826979122,-0.03126160234924798,0.7172093795569767,0.27225616006511605,-0.2000253509417857,0.7386328346999973,0.2849764913813631,0,0
GT_KtFjB6pDKRispFwCs_1,51.35,50.2,KtFjB6pDKRispFwCs,-0.0006427130796271806,0.041087683980834525,0.030115352120355175,-0.01796351736908694,0.6797764665411595,0.28822398379002534,-0.45827233921644844,0.6062055646252995,0.24448684468953585,1,0
GT_yGuanMgCM54YkTWBP_0,58.8421052631579,58.8421052631579,yGuanMgCM54YkTWBP,-0.1134491595206667,0.2829635608414991,0.17570094936202937,-0.3704792868174742,0.7528902155567445,0.3611192890580587,-0.5571631795465776,0.7260516055210968,0.4019309125349552,0,1
GT_yGuanMgCM54YkTWBP_1,63.75,56.7,yGuanMgCM54YkTWBP,0.0064487212440556664,0.08530914592724995,0.0881706912504433,0.12187728419159152,0.8373821374162729,0.2964662141902469,-0.31462545007567067,0.6939824594868128,0.30861389716744164,1,1
GT_W3Pr3tyHAoPsyoZxh_0,51.85,59.8,W3Pr3tyHAoPsyoZxh,-0.07502055972894292,0.049908670218503,0.013966145284718252,-0.10889951770439535,0.7186352999327359,0.24636630176346622,-0.3044828250272307,0.7053009130606573,0.28772614819328945,0,0
GT_W3Pr3tyHAoPsyoZxh_1,54.8421052631579,51.8421052631579,W3Pr3tyHAoPsyoZxh,-0.034753993401563765,0.08343961870506933,0.03073399189520773,-0.2531989699854282,0.577419011149896,0.218638543151178,-0.5254057512208621,0.5767135642833858,0.27327147826926595,1,0
GT_sKStjcTJvnnofxCgB_0,59.65,54.8,sKStjcTJvnnofxCgB,-0.22589845974112532,0.3132763793077823,0.26879602824032534,-0.4307967003373816,0.8390044153722707,0.46863021229761004,-0.5569506127238675,0.6213710552454552,0.3001101270071479,0,1
GT_sKStjcTJvnnofxCgB_1,64.0,64.83333333333333,sKStjcTJvnnofxCgB,-0.07872159520090061,0.15435881709465882,0.15245415588750333,-0.2659158200509647,0.6943695587594731,0.4051648515182544,-0.590119259200596,0.7098814634733781,0.3959804005449825,1,1
GT_BhccgcKQe7bpH7pWi_0,67.55,65.7,BhccgcKQe7bpH7pWi,-0.055399959922248644,0.1278395474312944,0.054293187314772035,-0.2779649175797833,0.619114859026187,0.2515438055819383,-0.3765447129276232,0.6673418434971783,0.2824755750972644,0,0
GT_BhccgcKQe7bpH7pWi_1,68.15789473684211,63.0,BhccgcKQe7bpH7pWi,-0.11773822824143326,0.12876433475263682,0.10426661956858098,-0.36486866160108183,0.5717048364178003,0.2946105501939725,-0.3586734710513967,0.6269354328506079,0.36334861936362567,1,0
GT_KC4EWWmEew2eiQFcQ_0,49.3,57.65,KC4EWWmEew2eiQFcQ,-0.09952138313223297,0.3190245491344884,0.1568497270271276,-0.2571428571428572,0.8674544338024659,0.3340662690428809,-0.43661991540584943,0.7005700755231155,0.4165535157337021,0,1
GT_KC4EWWmEew2eiQFcQ_1,61.0,57.45,KC4EWWmEew2eiQFcQ,-0.09070318975414174,0.34421199994936513,0.20955003961694094,-0.28317527269340115,0.885614885540095,0.40352088670160663,-0.46270269102050143,0.8366669936554982,0.4742472253494339,1,1
GT_nyj44mrAdH9BGGSnK_0,58.3,55.25,nyj44mrAdH9BGGSnK,-0.08029551995687481,0.08622202423246539,0.0034219400251081222,-0.020826488922056442,0.75955452531275,0.1944236785670807,-0.30412932480608373,0.7324657404522206,0.3048989362705098,0,0
GT_nyj44mrAdH9BGGSnK_1,63.65,50.55,nyj44mrAdH9BGGSnK,0.007331818770324905,0.11001471415563313,0.06695342470210228,-0.13245323570650439,0.6708203932499368,0.24995573612243585,-0.341381993294595,0.7341876945527369,0.3444260647920675,1,0
GT_Zae6heWeMutojmXft_0,54.8421052631579,55.421052631578945,Zae6heWeMutojmXft,-0.09234902945995077,0.24416488378778234,0.15045117411546,-0.36341380468368684,0.7085767648225648,0.3304479671452945,-0.5864213894569761,0.5121683033752845,0.2630298945666241,0,1
GT_Zae6heWeMutojmXft_1,57.10526315789474,53.73684210526316,Zae6heWeMutojmXft,-0.17646588363957955,0.29676140795770706,0.2599417556683912,-0.4629100498862758,0.7250625755222431,0.43698984223101894,-0.5014973088307819,0.67176903314953,0.33550620967626354,1,1
GT_TCrgRvccdKGHeDvdW_0,55.9,54.75,TCrgRvccdKGHeDvdW,-0.08583360918955325,0.04451783843856656,0.0685181769254207,-0.2487593667677473,0.5773024168517511,0.26252912380995214,-0.39778907316644824,0.7497238751784885,0.26865126436720743,0,0
GT_TCrgRvccdKGHeDvdW_1,59.473684210526315,55.05263157894737,TCrgRvccdKGHeDvdW,-0.15024960859249967,0.14515026893622662,0.11473838448069548,-0.16028489182124747,0.7711078316961164,0.3580376350894242,-0.4516239422835208,0.7267588959236693,0.29783685073657135,1,0
GT_BfyZ5JjRKWhdjS7qy_0,53.2,59.9,BfyZ5JjRKWhdjS7qy,-0.0623911965390163,0.17665240777248342,0.14409201896198015,-0.17622646147108983,0.8563007870678426,0.3608215142029366,-0.5602794313771176,0.732766235128449,0.4245158751921755,0,1
GT_BfyZ5JjRKWhdjS7qy_1,59.05,60.2,BfyZ5JjRKWhdjS7qy,-0.13365581901500284,0.211498245138913,0.17364899828261066,-0.19194918642723505,0.8220477221827082,0.36720409067473386,-0.5486363837398798,0.7885947924248907,0.42423243841045555,1,1
GT_hE8iDmuY7wvbgTTRB_0,51.578947368421055,53.21052631578947,hE8iDmuY7wvbgTTRB,-0.04601217017207653,0.09532968144612386,0.032993421969485515,-0.008718487394958058,0.7426755358613555,0.25279836977332754,-0.22945180748899335,0.7085985182231567,0.26471517429938096,0,0
